Rupture Index,Magnitude,Average Rake (degrees),Area (m^2),Length (m)
17882,8.483151659692107,0.0,4.2969153763307976E10,477203.38935404643
17883,8.50942994419351,0.0,4.564940428018371E10,506966.08343708224
17884,8.534203128122536,0.0,4.832905751103534E10,536721.155618588
17885,8.557633753598529,0.0,5.100808009223328E10,566469.0669595671
17886,8.579857814862274,0.0,5.368624923357954E10,596207.2888922589
17887,8.60099516888747,0.0,5.636382277875039E10,625938.7565515324
17888,8.621147556762043,0.0,5.904088393612043E10,655665.2364959323
17889,8.640403295855497,0.0,6.171754059912617E10,685387.5498209049
17890,8.658838447781303,0.0,6.43937598773372E10,715105.0049519661
17891,8.676520146002272,0.0,6.706956685720279E10,744817.9214439485
17892,8.69350728120135,0.0,6.974493207957933E10,774526.0764680932
17893,8.709852279064409,0.0,7.241985845908604E10,804228.7712881757
17894,8.72560200010439,0.0,7.509437553953792E10,833926.6728374772
17895,8.740798013572798,0.0,7.776844953214545E10,863619.3282231123
17896,8.755477826273209,0.0,8.044207589538812E10,893307.0703503409
17897,8.774311959368564,0.0,8.400737675948532E10,922988.6656822107
17898,8.792359638983662,0.0,8.757197071281628E10,952663.7263035212
17899,8.809683497557232,0.0,9.113579805444771E10,982332.4518325864
17900,8.82634090164755,0.0,9.469922471234172E10,1011997.877277851
17901,8.842377198160776,0.0,9.826135254969194E10,1041647.6309101434
17902,7.103533975911993,0.0,1.7928237059795365E9,59760.79065901844
17903,7.279584288757303,0.0,2.6889832335847454E9,89632.77810000959
17904,7.404488295876665,0.0,3.585025424939796E9,119500.85409250548
17905,7.5013593548756745,0.0,4.480880960032126E9,149362.7106807456
17906,7.7056114664898185,0.0,7.171594818526626E9,119500.85409250548
17907,7.802484775562499,0.0,8.963738149184713E9,149362.7106807456
17908,7.881627105663439,0.0,1.0755524137649446E10,179218.98775428085
17909,7.948536682738748,0.0,1.2547038499080717E10,209070.9767005474
17910,8.00649402619807,0.0,1.4338332205153515E10,238919.68152198038
17911,8.057610903246225,0.0,1.6129301945492348E10,268762.9474599635
17912,8.103330871130904,0.0,1.791990036846676E10,298600.0563227237
17913,8.144682783618526,0.0,1.9710041972222504E10,328429.5538455334
17914,8.18242632881048,0.0,2.1499637437121975E10,358249.7789765511
17915,8.217140067462797,0.0,2.3288682138684452E10,388060.54345290497
17916,8.249273873565556,0.0,2.507718334034033E10,417862.6191840454
17917,8.279186893913234,0.0,2.6865307053659107E10,447657.89431027515
17918,8.307165943964678,0.0,2.865305211845693E10,477446.26632510696
17919,8.333445690650063,0.0,3.044042177313165E10,507227.2662592456
17920,8.358220575934316,0.0,3.2227422921039913E10,537001.5327726451
17921,8.381652783042203,0.0,3.4014008153160065E10,566768.5759318065
17922,8.403878345316842,0.0,3.580003064578256E10,596526.3500536763
17923,8.425017105662246,0.0,3.7585660121286125E10,626277.8488188059
17924,8.44517054088924,0.0,3.9370926936689545E10,656023.4110948002
17925,8.464427133526915,0.0,4.115591426201609E10,685764.4405287385
17926,8.482863066234923,0.0,4.2940609741581375E10,715500.5851194097
17927,8.500545473012034,0.0,4.472502926077837E10,745232.5559274843
17928,8.517533221507007,0.0,4.65091498165067E10,774959.6246460899
17929,8.533878945490438,0.0,4.829299531589815E10,804681.7704887413
17930,8.549629405751825,0.0,5.007657535033732E10,834399.1634802207
17931,8.56482618983245,0.0,5.185986973183096E10,864111.4103058276
17932,8.57950670679627,0.0,5.364286374445108E10,893818.3937894005
17933,7.103725213414773,0.0,1.793613333803413E9,59787.11300884324
17934,7.279771472731538,0.0,2.690142455343246E9,89671.42017058693
17935,7.40467529370544,0.0,3.5865693935868297E9,119552.31603397509
17936,7.501550851871517,0.0,4.482857189152588E9,149428.57554617146
17937,7.580693757240253,0.0,5.378954825273959E9,179298.49495711856
17938,7.64760325157577,0.0,6.274909484270688E9,209163.65374799818
17939,7.705559820707835,0.0,7.170742030782402E9,239024.73586422185
17940,7.756676166914891,0.0,8.066413887050403E9,268880.4571556622
17941,7.802395661436266,0.0,8.961899040781488E9,298729.96427905245
17942,7.843747186007128,0.0,9.857155722753046E9,328571.8549053377
17943,7.881490615615542,0.0,1.0752144419431677E10,358404.8144571683
17944,7.916204572734527,0.0,1.1646866157081184E10,388228.87465073005
17945,7.948338188092803,0.0,1.2541305168886166E10,418043.5062081364
17946,7.9782515331762,0.0,1.343557055725569E10,447852.3541016106
17947,8.006231410366249,0.0,1.4329664494374096E10,477655.48641511315
17948,8.032512843882824,0.0,1.5223604225979568E10,507453.47974971373
17949,8.057289708683198,0.0,1.6117377468489063E10,537245.9215990808
17950,8.08072390816491,0.0,1.7010951355826248E10,567031.7219757566
17951,8.102951188441045,0.0,1.790424069394426E10,596808.0322038515
17952,8.124091310567321,0.0,1.879732512540067E10,626577.5154528084
17953,8.144245918538754,0.0,1.9690225212820625E10,656340.846982475
17954,8.163503501583502,0.0,2.0582981701450157E10,686099.3949288399
17955,8.18194035433261,0.0,2.1475592823440975E10,715853.0993394196
17956,8.199623358072756,0.0,2.2368053072883774E10,745601.7764165879
17957,7.102714408637597,0.0,1.7894436130108442E9,59648.117502416695
17958,7.278770900081435,0.0,2.683951753530672E9,89465.06772283137
17959,7.4036665626035685,0.0,3.578248565455098E9,119274.97290914266
17960,7.500535515882687,0.0,4.472388958459775E9,149079.64850944743
